DATE,FGEXPND
2009-04-01,3524.671
2009-07-01,3532.903
2009-10-01,3560.619
2010-01-01,3710.549
2010-04-01,3745.712
2010-07-01,3792.438
2010-10-01,3809.802
2011-01-01,3811.259
2011-04-01,3849.373
2011-07-01,3783.833
2011-10-01,3786.535
2012-01-01,3774.361
2012-04-01,3772.881
2012-07-01,3777.297
2012-10-01,3769.473
2013-01-01,3759.998
2013-04-01,3777.383
2013-07-01,3774.113
2013-10-01,3773.864
2014-01-01,3820.883
2014-04-01,3877.657
2014-07-01,3933.198
2014-10-01,3929.666
2015-01-01,3973.876
2015-04-01,3993.062
2015-07-01,4015.19
2015-10-01,4054.768
2016-01-01,4089.853
2016-04-01,4103.589
2016-07-01,4153.525
2016-10-01,4178.499
2017-01-01,4193.7
2017-04-01,4199.146
2017-07-01,4262.241
2017-10-01,4328.522
2018-01-01,4404.027
2018-04-01,4465.605
2018-07-01,4521.297
2018-10-01,4597.545
2019-01-01,4691.794
2019-04-01,4739.145
2019-07-01,4789.838
2019-10-01,4823.772
2020-01-01,4909.191
2020-04-01,9106.697
2020-07-01,7206.777
2020-10-01,5955.209
2021-01-01,8071.42
2021-04-01,7472.223
